pdf,study,field,status,priority,legacy_value_json,legacy_normalized_json,llm_a_value_json,llm_a_normalized_json,llm_b_value_json,llm_b_normalized_json,agreement_pattern,reviewed_value_json,decision_status,reviewer,decision_reason,evidence_quote,page,notes,suggested_value_json,suggested_source,suggestion_confidence,suggested_decision_status,review_action,suggestion_reason,needs_pdf_check,alignment_issue,alignment_evidence
Heard 1992.pdf,Heard 1992,Country,two_llms_agree_legacy_diff,high,"""AUS""","[""australia""]","[""Australia"", ""The Netherlands"", ""United States""]","[""australia"", ""netherlands"", ""united states""]","""Australia, Netherlands, USA""","[""australia"", ""netherlands"", ""united states""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,"""Australia, Netherlands, USA""",llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Ooi 2012.pdf,Ooi 2012,Country,two_llms_agree_legacy_diff,high,"""Singapore""","[""singapore""]","""Germany""","[""germany""]","""Germany""","[""germany""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,"""Germany""",llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Ooi 2012.pdf,Ooi 2012,Number of Cases,two_llms_agree_legacy_diff,high,1,"[""1""]",6,"[""6""]",6,"[""6""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,6,llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Number of Cases,two_llms_agree_legacy_diff,high,5,"[""5""]",6,"[""6""]",6,"[""6""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,6,llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Ooi 2012.pdf,Ooi 2012,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","""trauma-focused cognitive behavioral therapy (TF-CBT)""","[""trauma focused cognitive behavioral therapy""]","""Trauma-focused cognitive behavioral therapy (TF-CBT)""","[""trauma focused cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,"""Trauma-focused cognitive behavioral therapy (TF-CBT)""",llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","""Trauma-focused cognitive behavioral therapy (TF-CBT)""","[""trauma focused cognitive behavioral therapy""]","""trauma-focused cognitive behavioral therapy (TF-CBT)""","[""trauma focused cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,"""trauma-focused cognitive behavioral therapy (TF-CBT)""",llm_a+llm_b,high,candidate_legacy_error,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Both independent LLM extractions agree after normalization and differ from legacy coding.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Heard 1992.pdf,Heard 1992,Age,all_different,high,"[15, 13, 12]","[""12-15""]","[6, 16]","[""6-16""]","""children and adolescents, range approximately 4-17 years""","[""children and adolescents, range approximately 4-17 years""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Age,all_different,high,"[12.5, 9.5, 7, 8, 10]","[""7-13""]","[8, null, null, null, null, null]","[""8""]","""7 to 10 years""","[""7-10""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Age,all_different,high,8,"[""8""]","""adolescents""","[""adolescents""]","""16-18""","[""16-18""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Age,all_different,high,"[17, 16]","[""16-17""]",null,[],"""16-18""","[""16-18""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Eisen 2008.pdf,Eisen 2008,Comorbid diagnosis / problems,all_different,high,"[""Y, int"", ""Y, int, ADHD""]","[""y, int"", ""y, int, adhd""]",null,[],"[""Generalized Anxiety Disorder (GAD)"", ""Specific Phobia (animal, blood-injection-injury, natural environment types)"", ""Social Anxiety Disorder"", ""Dysthymic Disorder"", ""Attention-Deficit Hyperactivity Disorder (ADHD) - Predominantly Inattentive Subtype"", ""Mild Learning Disorder""]","[""attention-deficit hyperactivity disorder (adhd) - predominantly inattentive subtype"", ""dysthymic disorder"", ""generalized anxiety disorder (gad)"", ""mild learning disorder"", ""social anxiety disorder"", ""specific phobia (animal, blood-injection-injury, natural environment types)""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Neuhoff 2006.pdf (Neuhoff 2006)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Comorbid diagnosis / problems,all_different,high,"[""Y, int"", ""Y, ext""]","[""y, ext"", ""y, int""]",null,[],"[""Separation Anxiety Disorder, Generalised Anxiety Disorder, depression symptoms, suicidal ideation"", ""Oppositional Defiant Disorder, sexual behaviour problems"", ""Generalised Anxiety Disorder, obsessive compulsive symptoms"", ""Social Phobia, generalised and separation anxiety symptoms""]","[""generalised anxiety disorder, obsessive compulsive symptoms"", ""oppositional defiant disorder, sexual behavior problems"", ""separation anxiety disorder, generalised anxiety disorder, depression symptoms, suicidal ideation"", ""social phobia, generalised and separation anxiety symptoms""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Comorbid diagnosis / problems,all_different,high,"[""N"", ""Y, int""]","[""n"", ""y, int""]",null,[],"[""Depression"", ""Oppositional Defiant Disorder"", ""Attention Deficit Hyperactivity Disorder"", ""Other internalizing and externalizing problems""]","[""attention deficit hyperactivity disorder"", ""depression"", ""oppositional defiant disorder"", ""other internalizing and externalizing problems""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Comorbid diagnosis / problems,all_different,high,"[""Y, int"", ""N"", ""Y, int, ADHD""]","[""n"", ""y, int"", ""y, int, adhd""]",null,[],"[""Generalized Anxiety Disorder (GAD)"", ""Specific Phobia (SP)"", ""Social Anxiety Disorder (SOCANX)"", ""Dysthymic Disorder (DYS)"", ""Attention-Deficit Hyperactivity Disorder (ADHD)""]","[""attention-deficit hyperactivity disorder (adhd)"", ""dysthymic disorder (dys)"", ""generalized anxiety disorder (gad)"", ""social anxiety disorder (socanx)"", ""specific phobia (sp)""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Comorbid diagnosis / problems,all_different,high,"""NR""","[""not reported""]",null,[],"""none reported""","[""none reported""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Comorbid diagnosis / problems,all_different,high,"""N""","[""n""]",null,[],"""none diagnosed""","[""none diagnosed""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Country,all_different,high,"""USA""","[""united states""]",null,[],"""New Zealand""","[""new zealand""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Data availability,all_different,high,"""diagnosis""","[""diagnosis""]",null,[],"""diagnosis/ f.a.""","[""diagnosis"", ""frequent assessment""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Data availability,all_different,high,"""diagnosis""","[""diagnosis""]",null,[],"""diagnosis/ f.a.""","[""diagnosis"", ""frequent assessment""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Data availability,all_different,high,"""diagnosis""","[""diagnosis""]",null,[],"""diagnosis/ f.a.""","[""diagnosis"", ""frequent assessment""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Ooi 2012.pdf,Ooi 2012,Diagnosis screening or diagnostic interview?,all_different,high,"""screening""","[""screening""]",null,[],"""diagnostic interview""","[""diagnostic interview""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Drop-outs,all_different,high,"""NR""","[""not reported""]",null,[],0,"[""0""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Ooi 2012.pdf,Ooi 2012,Drop-outs,all_different,high,0,"[""0""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Drop-outs,all_different,high,0,"[""0""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Ethnicity / Race,all_different,high,"""new zeland europan""","[""new zeland europan""]",null,[],"[""New Zealand European"", ""New Zealand European"", ""New Zealand European"", ""New Zealand European""]","[""new zealand european""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Ethnicity / Race,all_different,high,"""NR""","[""not reported""]",null,[],"""mixed, including non-English speaking migrants""","[""including non-english speaking migrants"", ""mixed""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Ethnicity / Race,all_different,high,"[""caucasian"", ""orthodox jewish""]","[""caucasian"", ""orthodox jewish""]","[""Caucasian"", null, null, null, null, null]","[""caucasian""]","[""Caucasian"", ""Hispanic""]","[""caucasian"", ""hispanic""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Ethnicity / Race,all_different,high,"""singaporean chinese""","[""singaporean chinese""]","""unaccompanied refugee minors""","[""unaccompanied refugee minors""]","[""Somalia"", ""Afghanistan"", ""Iran""]","[""afghanistan"", ""iran"", ""somalia""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
